"","ID","Alter","Studienfach","Interesse_an_Mathematik","Interesse_am_Programmieren","Mathe_LK"
"1",1,26,"Statistik",6,7,"Ja"
"2",2,26,"Informatik",4,7,"Ja"
"3",3,23,"Statistik",7,5,"Ja"
"4",4,23,"Data Science",7,6,"Ja"
"5",5,19,"Statistik",7,3,"Ja"
"6",6,26,"Statistik",6,7,"Ja"
"7",7,27,"Informatik",7,5,"Nein"
"8",8,25,"Data Science",7,6,"Ja"
"9",9,29,"Informatik",4,7,"Ja"
"10",10,25,"Mathematik",5,7,"Ja"
"11",11,23,"Statistik",7,4,"Ja"
"12",12,27,"Statistik",6,2,"Nein"
"13",13,27,"Data Science",5,6,"Ja"
"14",14,24,"Informatik",7,6,"Ja"
"15",15,25,"Mathematik",5,3,"Ja"
"16",16,29,"Informatik",4,6,"Ja"
"17",17,28,"Informatik",7,3,"Nein"
"18",18,19,"Data Science",7,3,"Ja"
"19",19,20,"Informatik",4,7,"Ja"
"20",20,25,"Mathematik",7,7,"Ja"
"21",21,29,"Data Science",7,7,"Ja"
"22",22,27,"Informatik",4,7,"Nein"
"23",23,26,"Mathematik",6,1,"Ja"
"24",24,25,"Statistik",7,4,"Ja"
"25",25,27,"Informatik",4,7,"Ja"
"26",26,25,"Mathematik",5,3,"Ja"
"27",27,28,"Statistik",6,7,"Ja"
"28",28,27,"Data Science",7,6,"Ja"
"29",29,25,"Informatik",4,7,"Nein"
"30",30,25,"Informatik",7,7,"Nein"
"31",31,23,"Statistik",7,4,"Ja"
"32",32,24,"Informatik",5,7,"Ja"
"33",33,27,"Statistik",7,4,"Ja"
"34",34,30,"Informatik",7,7,"Nein"
"35",35,26,"Statistik",6,3,"Ja"
"36",36,26,"Statistik",6,4,"Ja"
"37",37,24,"Data Science",6,6,"Ja"
"38",38,25,"Mathematik",7,3,"Ja"
"39",39,24,"Mathematik",4,3,"Ja"
"40",40,26,"Statistik",6,4,"Ja"
"41",41,27,"Data Science",6,5,"Ja"
"42",42,24,"Data Science",3,2,"Ja"
"43",43,24,"Informatik",4,3,"Ja"
"44",44,24,"Statistik",7,1,"Ja"
"45",45,23,"Mathematik",7,1,"Ja"
"46",46,26,"Statistik",6,4,"Nein"
"47",47,24,"Statistik",7,4,"Ja"
"48",48,25,"Statistik",6,1,"Ja"
"49",49,26,"Statistik",6,7,"Ja"
"50",50,26,"Data Science",7,7,"Ja"
"51",51,25,"Data Science",5,6,"Nein"
"52",52,26,"Mathematik",4,1,"Ja"
"53",53,24,"Informatik",4,7,"Ja"
"54",54,26,"Informatik",4,7,"Nein"
"55",55,25,"Mathematik",7,3,"Ja"
"56",56,25,"Informatik",7,3,"Ja"
"57",57,25,"Mathematik",2,5,"Ja"
"58",58,22,"Data Science",5,6,"Nein"
"59",59,24,"Statistik",6,4,"Ja"
"60",60,26,"Informatik",6,7,"Ja"
"61",61,29,"Data Science",7,7,"Ja"
"62",62,26,"Statistik",3,4,"Ja"
"63",63,22,"Statistik",7,7,"Ja"
"64",64,31,"Informatik",4,7,"Ja"
"65",65,27,"Data Science",7,7,"Ja"
"66",66,26,"Data Science",5,6,"Nein"
"67",67,27,"Data Science",5,7,"Nein"
"68",68,25,"Statistik",6,1,"Ja"
"69",69,25,"Statistik",7,4,"Nein"
"70",70,25,"Statistik",6,4,"Ja"
"71",71,27,"Data Science",5,5,"Ja"
"72",72,28,"Data Science",7,6,"Ja"
"73",73,22,"Mathematik",7,3,"Nein"
"74",74,24,"Mathematik",3,3,"Ja"
"75",75,23,"Statistik",6,4,"Ja"
"76",76,24,"Data Science",5,6,"Nein"
"77",77,21,"Mathematik",7,3,"Ja"
"78",78,24,"Informatik",4,5,"Ja"
"79",79,25,"Statistik",4,4,"Ja"
"80",80,25,"Informatik",7,5,"Nein"
"81",81,26,"Data Science",7,7,"Ja"
"82",82,25,"Informatik",4,6,"Ja"
"83",83,30,"Data Science",3,7,"Nein"
"84",84,25,"Statistik",6,1,"Ja"
"85",85,23,"Mathematik",5,3,"Ja"
"86",86,30,"Mathematik",7,7,"Ja"
"87",87,21,"Statistik",6,4,"Nein"
"88",88,27,"Statistik",7,4,"Ja"
"89",89,29,"Informatik",4,7,"Ja"
"90",90,26,"Data Science",7,6,"Ja"
"91",91,22,"Data Science",7,7,"Ja"
"92",92,21,"Data Science",5,6,"Ja"
"93",93,26,"Statistik",6,4,"Ja"
"94",94,27,"Mathematik",6,3,"Ja"
"95",95,25,"Data Science",5,6,"Ja"
"96",96,23,"Informatik",4,7,"Ja"
"97",97,26,"Data Science",7,2,"Ja"
"98",98,26,"Statistik",7,7,"Ja"
"99",99,24,"Statistik",6,7,"Ja"
"100",100,24,"Mathematik",6,3,"Ja"
